一|one
彭|swelling, sound of drum
淘|select
剃|shave
徘|wonder
袁|
舩|
簑|
甦|be resuscitated, revived
檄|written appeal, manifesto
姚|beautiful
蛭|leech
椙|Japanese cedar, cryptomeria
贋|counterfeit, forgery
洒|wash, sprinkle
諜|
蓼|luxurious grass, a smartweed
甕|jar, jug, vat
喘|pant, gasp, breathe hard
鉾|halberd, arms, festival float
嗜|like, taste, modest
偕|together
頚|neck, head
胚|embryo
牢|prison, jail, hardness
糞|shit, feces, excrement
吊|suspend, hang, wear (sword)
鮭|salmon
轍|rut, wheel track
醤|a kind of miso
舛|dancing radical
謳|extol, declare, express
杞|river willow
狸|tanuki, raccoon
什|
仄|be seen dimly, suggest, intimate, faint, stupid, hint
佼|
侭|
倅|
做|
僻|prejudice, bias, rural area
兇|wickedness
凋|wither, droop, lame
剪|
匕|
匙|
厖|
厭|get tired of, satiate, bore
叛|isobey, defy, go back on, rebel, rebellion
吃|stammer
吋|
吠|bark, howl, cry
呎|
咎|
咳|cough, clear throat
唖|
嘔|
噸|
嚢|pouch, purse, bag
囁|
坤|divination sign, land, earth
垢|dirt, grime, earwax
埠|wharf
塡|fill in, fill up, make good
塵|dust, trash, garbage
夙|
夥|
妓|stretch, singing girl, geisha, prostitute
妾|
姐|elder sister, maidservant
姦|wicked, mischief, seduce, rape, noisy
婉|
婢|
嬌|attractive
嬬|mistress, weak
嬰|
孕|become pregnant
屁|
屍|
屠|slaughter, butcher, slay
屡|
嵌|go into, plunge, inlay
巫|
幟|flag, banner, streamer
庖|
廓|
彊|strong
怯|cowardice, wince, flinch, hesitate, waver
悛|
悶|be in agony, worry
愈|
慾|
憑|possess, haunt
懺|
截|
扮|impersonate, dress up, disguise, thin shingles
抉|gouge, hollow out, bore, pry
捌|
掟|law, commandments, regulations
掩|
掴|catch, seize, grasp, hold, arrest, capture
掻|scratch, rake, comb, paddle, behead
揖|bow with arms folded, come together, assemble
撹|
擾|
旱|
暈|
暝|
曰|say, reason, pretext, history, past
杓|
栂|hemlock, (kokuji)
梟|
梱|pack, tie up, bale
梵|Sanskrit, purity, Buddhist
棉|
棘|thorn, splinter, spine, biting words, briers
槃|
樒|
樗|
樵|
橇|
欝|
沐|wash
泪|
洩|leak, escape
涅|
涜|defile, blaspheme, ditch
渾|all, turbidity
溌|sprinkle, lively, vigorous
滲|imbued with
漉|manufacture paper, spread out thin, strain, percolate
潅|
澱|sediment, grounds, dregs, stagnant
濠|moat, ditch, canal, Australia
濾|
瀞|pure water, clear water, pool in a river
炬|torch, signal fire
烙|
烹|boil, cook
焔|
煽|fan, flap, instigate, agitate, bolster up, gulp down
熔|
燐|phosphorus
爺|old man, grampa
狒|
狗|puppy, dog
狡|
狽|
猥|obscene
猾|
珪|
琲|string of many pearls
畦|
畷|rice field ridge path
疹|measles, sickness
痒|itchy
痔|
痰|
痺|
眩|
睾|testicles
砺|whetstone, polish
碇|
碍|
祀|enshrine, worship
祓|
祟|curse, haunt
禦|
禿|
稗|humble, deccan grass
穆|
穎|
竃|
站|
笥|lunch box, clothes chest
筏|raft
箆|
箪|bamboo rice basket
箭|arrow
簸|winnow, fan
籤|
粁|
粍|
糎|
糟|
糠|rice bran
絨|
綬|ribbon
繋|tie, fasten, chain, tether, connect
繍|sew, figured cloth
罫|ruled line
翰|
聘|invite
聚|
聾|
肛|anus
肱|
胱|bladder
脆|brittle, fragile, easy to beat, sentimental, susceptible
脛|
腑|viscera, bowels
膿|
舅|father-in-law
艘|counter for ships
芻|grass cutting, hay
苓|
莨|
菰|reed used for matting
葱|stone leek, Welsh onion
蒜|garlic
蔚|
蕊|
蕩|
薯|
藷|
虔|respect
蚤|flea
蛎|oyster
蛙|frog
蛤|
蛸|
蛾|
蝉|cicada
蝋|
蝕|eclipse, occultation, be defective
蝿|
蟄|hibernation of insects
蟻|ant
袷|
覗|peep, peek, come in sight
詑|
誹|ridicule, slander
謬|
譬|
讐|enemy, revenge
賎|
赫|suddenly
趨|run, go, quick, tend towards
跪|
躇|hesitate
躊|hesitate
躓|stumble
躯|
躾|
輻|
轡|
逼|urge, force, imminent, spur on
邁|
酋|
釦|
鉦|bell, gong, chimes
鋏|
鋤|
鋪|
鋲|
錨|
鎚|
鏑|arrowhead
鑓|
鑿|chisel
雉|
靭|soft, pliable, quiver
頰|cheeks, jaw
顛|overturn, summit, origin
飴|rice jelly, candy
餐|
饅|bean-jam dumpling, manjuu
駁|refutation, contradiction
騙|deceive
騨|dappled grey horse
驢|
髭|beard, mustache
鮒|
鮨|
鮪|tuna
鯖|mackerel
鯵|horse mackerel
鰍|bullhead
鰐|
鰭|
鰹|bonito
鰻|eel
鱈|codfish, (kokuji)
鴬|
鵡|cockatoo
鸚|parrot, parakeet
鹵|
鹸|saltiness
黍|
鼈|snapping turtle
鼠|
鼾|
剝|
𠮟|
咋|shout, chew, eat
證|
潘|water in which rice has been washed
栩|type of oak
覃|extend, deep, large
疵|crack, flaw, scratch, speck
藪|thicket, bush, underbrush, grove
濱|
叟|old person
濤|waves, billows
剱|sword
鏝|soldering iron, trowel, curling iron, flat iron
鰒|abalone
熾|kindling fire
熨|flatiron, smooth out
蔟|gather together
縷|thread
圀|country
蹊|path
罠|trap, snare
譚|talk
涛|waves, billows
毫|fine hair, brush, not at all
隕|fall
邊|
腱|tendon
爛|be sore, inflamed, bleary, fester
扁|level, small
愕|surprised, frightened
怡|rejoice, enjoy
彷|stray, wander, loiter
俑|effigy
鐸|large hand bell
鉉|handle
諫|admonish, dissuade
蜃|clam
瞰|look, see
炸|frying, explosion
涌|boil, ferment, seethe, uproar, breed
泄|leak
麩|light wheat-gluten bread
鑼|gong
轢|run over
諤|speaking the truth
褪|fade, discolour
蛯|shrimp
紆|crouch
糀|malt
磋|polish
獏|tapir
爬|scratch
澂|
櫃|chest, coffer, tub
曄|shine, flourishing
彿|dimly
齋|Buddhist food, room, religious purification, worship, avoid, alike
飫|satiety
頸|neck, head
軋|squeak, creak, grate
詭|lie, deceive
稷|millet
瀾|large waves
滔|overflowing
榜|rudder, oar, name plate
桓|marking post
曠|wide, worthless
揉|rub, massage, shampoo, debate vigorously, train, coach, worry, get in trouble
徊|wandering
媚|flatter, humor, flirt
壺|jar, pot
嗚|weep, ah, alas
頷|nod approval
鑚|make fire by rubbing sticks
酩|sweet sake
酊|intoxication
螢|firefly
薇|an edible fern
臍|navel
羹|hot soup
箙|quiver
窈|quiet
祠|small shrine
痍|injury
甑|rice-steaming pot
瑪|agate, onyx
瑙|agate, onyx
熏|
澹|frankly, simply
櫨|wax tree
桿|shield, pole
柩|bier, coffin
捏|knead, mix
忖|conjecture
幇|help
嵜|steep, promontory
墟|ruins
啼|bark, chirp, cry
咤|clicking (with tongue)
咄|pshaw, god forbid
劭|recommend, work hard, beautiful
佗|proud, lonely
饒|abundant
餡|bean jam
餞|farewell gift
霍|quick, sudden
雖|although, however
隋|name of a Chinese dynasty
陜|narrow
鉗|shut up
鈞|equal, important point
邱|hill
躬|body, self
誦|recite, chant
衾|quilt, bedding
蠣|oyster
蜻|dragonfly
蜘|spider
蛛|spider
蛉|dragonfly, moon moth
虻|gadfly, horsefly
蘊|pile up
苧|hemp, flax
臺|stand, counter for vehicles
腿|thigh, femur
翳|hold aloft
翅|(insect) wings, fly, merely
纓|crown string, breast harness
筬|reed, guide for yarn on a loom
禹|name of a Chinese emperor
礫|small stones
矮|low, short
瞽|blind person
瞞|deception
癬|ringworm
瑕|flaw, blemish
焙|fire, roast
瀝|dropping
瀚|wide & large
瀑|waterfall
澎|turbulent water
滸|vicinity
溟|dark, ocean
湃|sound of waves
涵|immerse
殷|flourishing
欅|keyaki, zelkova tree
槐|type of Japanese pagoda tree
梠|a kind of quince
斂|tighten, stiffen
攫|abduct
攘|chase away, steal
揶|tease, play with
揄|pull, tease, play with
拮|be imminent
拗|crooked, twisted, distorted, perverted, cross
戌|7-9PM, 11th zodiac sign, dog
恪|carefulness
恍|unclear, senile, stupid, joke
徨|wandering
帚|broom
巍|high
寨|fort
娟|beauty of face
址|ruins
嗤|laugh, ridicule
嗟|be satisfied, grieve, ah
唸|groan, roar
剌|opposed, biased
几|table, table enclosure
凖|correspond to, proportionate to, conform, imitate
冽|cold
冑|lineage, helmet
佞|flattery, insincerity
鶯|nightingale
鴉|crow, raven
鱸|sea bass
鰤|yellowtail
鰓|gills, gill slits
鰊|herring
鰈|sole, flatfish, flounder
鮓|sushi, seasoned rice
鬆|loose, dishevelled, pore, cavity in overboiled daikon
髷|topknot
髑|skull
髏|skull
驟|run, suddenly
饌|food, offering
饉|hunger
餃|gyoza
飄|turn over, wave
顰|scowl, raise eyebrows
顆|grain (e.g. rice)
韶|music, spring
韋|tanned leather
韃|proper name
靼|smooth
靱|soft, pliable, quiver
雍|softening, mitigation
隘|narrow, obstruct
陞|go up, climb
陋|narrowness, meanness, humbleness
閔|grieve, be sad, pity
鐙|stirrup
鐔|sword guard, hilt
鐐|hatchet, vanadium
鎗|spear, lance, javelin
鎔|fuse, melt
鈿|ornamental hairpiece
醂|remove astringency, bleach in water
鄲|place name
邯|place name, tree cricket
邉|
邇|approach, near, close
邂|meet unexpectedly
逡|saunter, go back
逅|meet
輦|palanquin
軛|yoke
躙|edge forward, trample
蹂|step on
跏|sitting in the lotus position
趾|footprint, remains
贔|strength, power
贄|offering, sacrifice
谿|valley
讀|
謐|quiet
諍|quarrel
詈|ridicule
訝|doubt
訛|accent, dialect
襷|cord to hold up sleeves, (kokuji)
裔|descendant, border
袰|hood, top, awning, cover
衒|show off, display, pretend
蠍|scorpion
蟋|cricket, grasshopper
蟀|cricket, grasshopper
號|
蘆|reed, rush
葯|pollen pod at tip of stamen, type of tall grass
葭|reed
莱|goosefoot, pigweed
莪|type of thistle
莚|straw mat
茹|boil, seethe
茵|cushion, mattress
茲|here
茫|wide, extensive
芒|pampas grass, beard (grain)
艸|grass radical
舳|bow, prow
舫|moor, berth
膵|pancreas
膣|vagina
膀|bladder
腟|vagina
腓|calf (of leg)
聰|wise, fast learner
翹|excellence
罹|catch, get
繹|pull out
繪|picture, drawing, painting, sketch
繩|rope, cord
繚|put on, twist around
緘|shut, seal
綏|peaceful, cheap, grab strap
粂|used in proper names
籐|rattan, cane
籃|basket
簒|rob
簀|rough mat (reeds)
箴|warning, counsel, presept, needle
箟|
箒|broom
筧|waterpipe, flume
稠|density
祗|respectful
碆|arrowhead, weight attached to an arrow by a cord
砿|ore
矜|pride, respect
矗|luxuriance
瞼|eyelids
睨|glaring at, authority, power, scowl at
癈|chronic illness, getting crippled
瘡|wound, boil, syphilis
痙|have a cramp
疽|carbuncle
疸|jaundice
疱|smallpox, blister
疆|boundary
甞|lick, lap up, burn up, taste, udergo, underrate, despise
瓷|high quality porcelain
瑣|small, chain
珎|
獰|bad
猊|lion, the seat of a famous priest
牀|
燼|embers
燻|smoulder, fume, oxidize
燵|foot warmer, (kokuji)
燗|warming sake
瀟|pure, clean
瀉|evacuation
濬|deep, dredge
漲|overflow
滓|dregs, grounds
滄|ocean
溪|valley
游|float, swim
渠|ditch, canal, lock
淺|
淇|name of a Chinese river
涸|dry up, mature
涎|saliva, slobber
洙|name of a Chinese river
泗|name of a Chinese river, snivel
泓|deep clear water
沁|penetrate, soak in
檻|pen, corral, cell, jail
樸|bark of a tree
樓|tower, turret
槿|rose of Sharon
榧|Japanese nutmeg, plum-yew
楡|elm
椒|mountain ash
棹|pole a boat
棣|flowering almond
棗|jujube
栫|weir
栢|oak
杳|darkness, dimly
朧|haziness, dreaminess, gloom
會|meet, party, association, interview, join
曵|
斌|beautiful, harmony of appearance
敲|strike, beat, hit
摸|search, imitate, copy
拇|thumb
戮|kill
戎|warrior, arms, barbarian, Ainu
戀|in love, yearn for, miss, darling
憚|hesitate, shrink, awe
憔|get thin
愾|anger, breathlessness
惻|be sad
悸|pulsate, shudder
悴|becoming emaciated, son
恂|sincere, fear, sudden, blinking
弩|bow (arrow)
廼|in other words, thou, you, possessive particle
廠|workshop
廈|house
嶼|island
崗|hill
崑|place name
岱|old name for a Chinese mountain, Taishan
屹|towering mountains
屓|exerting strength (aikido)
寇|
學|
孵|hatch, incubate
娜|graceful
娑|old woman
姶|good-looking, quiet
奢|extravagance, luxury
奘|large, great
夘|rabbit (zodiac sign)
壜|bottle, vial, jar
埒|picket, limits, be settled
囿|game preserve, pasture, garden
囀|sing, chirp, warble, chatter
噪|be noisy
噤|shut up
喨|clear voice
啖|eat
哥|big brother
呵|scold, blow on, reprove
吽|bark, growl
卉|grass
匣|box
冲|offing, open sea, rise high into sky
册|no. of books, volume
儡|defeat
儘|as it is, because
僭|boastfully usurp
傅|tutor
傀|large
假|temporary, interim, assumed (name), informal
俥|jinricksha, (kokuji)
俟|wait, depend on
佇|stop, linger, appearance, figure, bearing
踝|
踵|
皺|
頤|
戈|
兔|
猴|
豬|
鈎|
鯆|
鮠|
鯊|
鯰|
鰌|
鮃|
